table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,is_identity
auth,audit_log_entries,instance_id,1,uuid,null,YES,null,NO
auth,audit_log_entries,id,2,uuid,null,NO,null,NO
auth,audit_log_entries,payload,3,json,null,YES,null,NO
auth,audit_log_entries,created_at,4,timestamp with time zone,null,YES,null,NO
auth,audit_log_entries,ip_address,5,character varying,64,NO,''::character varying,NO
auth,flow_state,id,1,uuid,null,NO,null,NO
auth,flow_state,user_id,2,uuid,null,YES,null,NO
auth,flow_state,auth_code,3,text,null,NO,null,NO
auth,flow_state,code_challenge_method,4,USER-DEFINED,null,NO,null,NO
auth,flow_state,code_challenge,5,text,null,NO,null,NO
auth,flow_state,provider_type,6,text,null,NO,null,NO
auth,flow_state,provider_access_token,7,text,null,YES,null,NO
auth,flow_state,provider_refresh_token,8,text,null,YES,null,NO
auth,flow_state,created_at,9,timestamp with time zone,null,YES,null,NO
auth,flow_state,updated_at,10,timestamp with time zone,null,YES,null,NO
auth,flow_state,authentication_method,11,text,null,NO,null,NO
auth,flow_state,auth_code_issued_at,12,timestamp with time zone,null,YES,null,NO
auth,identities,provider_id,1,text,null,NO,null,NO
auth,identities,user_id,2,uuid,null,NO,null,NO
auth,identities,identity_data,3,jsonb,null,NO,null,NO
auth,identities,provider,4,text,null,NO,null,NO
auth,identities,last_sign_in_at,5,timestamp with time zone,null,YES,null,NO
auth,identities,created_at,6,timestamp with time zone,null,YES,null,NO
auth,identities,updated_at,7,timestamp with time zone,null,YES,null,NO
auth,identities,email,8,text,null,YES,null,NO
auth,identities,id,9,uuid,null,NO,gen_random_uuid(),NO
auth,instances,id,1,uuid,null,NO,null,NO
auth,instances,uuid,2,uuid,null,YES,null,NO
auth,instances,raw_base_config,3,text,null,YES,null,NO
auth,instances,created_at,4,timestamp with time zone,null,YES,null,NO
auth,instances,updated_at,5,timestamp with time zone,null,YES,null,NO
auth,mfa_amr_claims,session_id,1,uuid,null,NO,null,NO
auth,mfa_amr_claims,created_at,2,timestamp with time zone,null,NO,null,NO
auth,mfa_amr_claims,updated_at,3,timestamp with time zone,null,NO,null,NO
auth,mfa_amr_claims,authentication_method,4,text,null,NO,null,NO
auth,mfa_amr_claims,id,5,uuid,null,NO,null,NO
auth,mfa_challenges,id,1,uuid,null,NO,null,NO
auth,mfa_challenges,factor_id,2,uuid,null,NO,null,NO
auth,mfa_challenges,created_at,3,timestamp with time zone,null,NO,null,NO
auth,mfa_challenges,verified_at,4,timestamp with time zone,null,YES,null,NO
auth,mfa_challenges,ip_address,5,inet,null,NO,null,NO
auth,mfa_challenges,otp_code,6,text,null,YES,null,NO
auth,mfa_challenges,web_authn_session_data,7,jsonb,null,YES,null,NO
auth,mfa_factors,id,1,uuid,null,NO,null,NO
auth,mfa_factors,user_id,2,uuid,null,NO,null,NO
auth,mfa_factors,friendly_name,3,text,null,YES,null,NO
auth,mfa_factors,factor_type,4,USER-DEFINED,null,NO,null,NO
auth,mfa_factors,status,5,USER-DEFINED,null,NO,null,NO
auth,mfa_factors,created_at,6,timestamp with time zone,null,NO,null,NO
auth,mfa_factors,updated_at,7,timestamp with time zone,null,NO,null,NO
auth,mfa_factors,secret,8,text,null,YES,null,NO
auth,mfa_factors,phone,9,text,null,YES,null,NO
auth,mfa_factors,last_challenged_at,10,timestamp with time zone,null,YES,null,NO
auth,mfa_factors,web_authn_credential,11,jsonb,null,YES,null,NO
auth,mfa_factors,web_authn_aaguid,12,uuid,null,YES,null,NO
auth,oauth_clients,id,1,uuid,null,NO,null,NO
auth,oauth_clients,client_id,2,text,null,NO,null,NO
auth,oauth_clients,client_secret_hash,3,text,null,NO,null,NO
auth,oauth_clients,registration_type,4,USER-DEFINED,null,NO,null,NO
auth,oauth_clients,redirect_uris,5,text,null,NO,null,NO
auth,oauth_clients,grant_types,6,text,null,NO,null,NO
auth,oauth_clients,client_name,7,text,null,YES,null,NO
auth,oauth_clients,client_uri,8,text,null,YES,null,NO
auth,oauth_clients,logo_uri,9,text,null,YES,null,NO
auth,oauth_clients,created_at,10,timestamp with time zone,null,NO,now(),NO
auth,oauth_clients,updated_at,11,timestamp with time zone,null,NO,now(),NO
auth,oauth_clients,deleted_at,12,timestamp with time zone,null,YES,null,NO
